timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7
1757459959.448212,222,245,109,370,269,487,203,319
1757459959.953016,141,248,292,291,339,328,375,421
1757459960.4613461,182,491,167,455,164,313,137,227
1757459960.969834,497,428,134,453,330,451,130,208
1757459961.478744,245,219,166,303,102,321,137,156
1757459961.989532,139,430,278,385,239,132,295,457
1757459962.498069,129,112,356,340,380,393,473,192
1757459963.013301,275,202,482,210,121,148,184,444
1757459963.5251489,100,123,337,430,490,365,485,148
1757459964.0396318,467,476,140,432,324,289,217,138
1757459964.557025,450,281,333,292,245,486,422,271
1757459965.0706491,408,314,137,349,290,324,268,435
1757459965.5857742,135,493,465,184,304,449,475,226
1757459966.0952032,149,172,407,213,387,187,414,103
1757459966.606241,294,494,414,494,382,388,322,375
1757459967.114558,383,192,345,217,319,437,291,436
1757459967.628463,186,282,418,197,281,298,373,121
1757459968.141729,317,499,266,257,116,227,491,166
1757459968.656012,269,488,388,227,145,423,158,453
1757459969.1700962,252,113,252,331,170,487,428,318
1757459969.684631,228,464,138,460,226,281,349,496
1757459970.195531,105,358,194,387,199,268,257,365
1757459970.7107682,142,428,252,222,186,405,406,267
1757459971.226526,323,321,421,312,157,492,100,259
1757459971.741076,328,334,301,454,395,363,448,395
1757459972.259287,268,393,396,272,211,428,171,472
1757459972.774749,157,422,351,446,433,379,407,480
1757459973.290814,422,447,318,185,191,412,471,427
1757459973.805662,160,393,105,321,498,292,292,357
1757459974.322517,432,355,130,191,311,216,369,292
1757459974.834961,448,496,173,442,257,248,261,458
1757459975.343146,302,395,351,275,135,103,338,296
1757459975.847378,131,454,112,266,493,463,172,391
1757459976.356905,485,475,177,345,485,198,416,169
1757459976.863094,426,223,341,249,146,104,142,435
1757459977.3739269,161,275,113,370,339,375,396,336
1757459977.885579,382,105,351,307,173,203,496,345
1757459978.396357,145,228,209,434,455,347,365,334
1757459978.907469,147,354,147,230,231,478,108,264
1757459979.414638,336,425,344,437,210,496,344,318
1757459979.9234838,378,190,318,265,285,409,486,344
1757459980.439295,225,228,491,218,155,217,286,275
1757459980.9490051,465,421,182,341,250,141,455,136
1757459981.4594429,329,395,368,143,406,391,223,171
1757459981.967108,221,474,328,464,308,349,257,246
1757459982.479794,290,478,338,412,110,164,335,275
1757459982.987782,107,216,210,485,209,248,125,431
1757459983.497866,402,389,496,235,386,373,131,244
1757459984.027256,336,444,267,392,248,249,440,326
1757459984.558201,421,353,311,371,364,432,218,194
1757459985.0716999,386,490,433,369,241,484,418,308
1757459985.5767622,327,122,143,107,125,306,470,496
1757459986.103371,121,422,303,310,427,242,314,286
1757459986.6526332,187,285,267,139,370,337,446,255
1757459987.173434,311,366,266,204,309,217,457,297
1757459987.706264,178,280,326,258,235,268,289,230
1757459988.261138,125,386,347,491,321,136,153,125
1757459988.7817512,432,447,138,320,170,380,366,133
1757459989.2955992,230,327,154,150,354,186,334,276
1757459989.821541,484,129,106,348,273,387,297,340
1757459990.346246,177,100,129,421,439,340,224,155
1757459990.8603678,471,262,100,199,282,288,477,421
1757459991.367414,163,270,402,403,397,113,243,288
1757459991.878783,280,107,351,139,124,171,308,110
1757459992.390558,149,189,243,178,432,257,469,416
1757459992.895092,151,389,112,337,204,181,337,192
1757459993.4064279,359,228,488,429,460,280,485,461
1757459993.918528,406,143,376,138,468,368,426,435
1757459994.42765,274,499,251,328,257,155,314,105
1757459994.937238,299,124,165,218,352,496,394,350
1757459995.442451,419,258,495,467,250,465,448,243
1757459995.948709,268,309,290,469,394,382,210,413
1757459996.458994,293,383,286,474,142,372,432,344
1757459996.9701161,380,184,428,186,235,429,461,297
1757459997.480018,165,210,457,182,171,189,432,115
1757459997.986402,128,150,132,283,498,121,488,102
1757459998.49305,286,176,327,202,327,206,117,216
1757459999.004268,157,423,320,379,150,241,418,339
1757459999.5164979,172,231,110,479,497,297,474,489
1757460000.026753,113,272,326,161,294,279,483,291
1757460000.535157,311,237,310,123,307,294,220,479
1757460001.0467641,465,338,252,421,258,277,439,116
1757460001.55366,370,242,169,471,276,416,401,329
1757460002.062182,487,258,265,352,196,201,278,453
1757460002.569077,296,492,459,266,421,114,284,438
1757460003.08061,262,224,106,385,434,337,272,248
1757460003.588792,206,465,247,165,391,349,383,199
1757460004.103123,301,417,310,173,102,472,386,141
1757460004.6169112,236,341,170,138,314,498,369,481
1757460005.130773,438,462,322,456,303,108,290,203
1757460005.643292,126,293,300,272,197,239,206,132
1757460006.157047,496,381,400,153,148,364,228,209
1757460006.66926,327,386,321,433,131,313,443,379
1757460007.178323,363,103,439,381,469,209,308,280
1757460007.690965,229,146,199,168,319,445,319,438
1757460008.200736,186,330,405,186,443,245,357,442
1757460008.710709,200,474,333,219,342,165,356,270
1757460009.2244532,224,151,455,339,437,343,237,187
1757460009.736189,295,149,103,274,459,425,446,138
1757460010.245973,164,150,410,265,384,354,407,367
1757460010.7598379,448,414,385,299,114,451,198,356
1757460011.2710521,487,249,264,483,242,201,355,130
1757460011.781047,180,301,401,135,270,434,372,225
1757460012.289137,319,467,225,496,477,202,196,186
1757460012.8019788,441,157,452,458,151,167,109,131
1757460013.309609,309,347,348,123,106,243,188,380
1757460013.8216681,464,485,153,477,359,473,398,393
1757460014.3308191,206,478,475,456,252,330,249,435
1757460014.842674,217,477,105,485,483,436,134,238
1757460015.352313,355,350,288,211,387,328,184,420
1757460015.865396,425,282,372,334,374,348,354,365
1757460016.376225,103,247,312,169,223,108,466,486
1757460016.891691,444,396,296,146,384,237,170,117
1757460017.411131,277,126,401,376,471,104,199,132
1757460017.928698,387,313,341,240,398,488,409,217
1757460018.443043,369,356,418,153,448,225,342,435
1757460018.958664,167,386,450,466,313,213,230,398
1757460019.4716742,329,453,192,340,371,310,494,404
1757460019.983789,104,236,417,102,376,240,164,239
1757460020.496661,174,104,393,473,476,489,109,203
1757460021.010328,380,180,303,349,103,482,435,149
1757460021.523186,336,119,417,112,335,313,464,233
1757460022.036303,302,430,236,193,165,205,363,152
1757460022.551968,118,256,129,104,172,223,298,483
1757460023.0589068,209,254,424,429,406,325,253,322
